,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,top_topic_lda
19,0.0032552479454095243,0.003255248757531323,0.0032552465212607046,0.0032552602831171897,0.0032552465833062083,0.15901144203874065,0.0032552463830996053,0.0032552542993424796,0.4005283147466605,0.0032552470433272,0.0032552493809462116,0.003255246357912365,0.0032552486660784824,0.3835728862944846,0.021079614698782924,8
20,0.0032380995664667927,0.0032376466209861165,0.0032376466805640607,0.003237653591100035,0.6189295628757138,0.0032376471321954987,0.0032376589302391535,0.0032376466467935834,0.003237646771564061,0.0032376466172393805,0.338980551772688,0.0032376466530292043,0.0032376466161114646,0.0032376496659905544,0.0032376498593183214,4
21,0.5402675709243908,0.0025305199834633418,0.002530519987606925,0.002530519930548773,0.0025305243790078417,0.0025305199740270983,0.0025305198628000356,0.0025305199871672474,0.4268356529052941,0.0025305227265701234,0.002530524362512477,0.002530519830647168,0.0025305198318252035,0.00253052543197348,0.0025305198821654953,0
22,0.0024442008109205257,0.0024436597220537414,0.0024436517541880677,0.002443709666290179,0.20908925913764287,0.0024437776511144565,0.0024436529557027684,0.0024436531450812322,0.0024436933103306477,0.0024436517582500173,0.7591420249787183,0.0024436518744628873,0.002443660939702443,0.002443691995799647,0.0024440602997421916,10
23,0.002197428714425304,0.7266492402492092,0.0021968884650584303,0.0021968959397338826,0.0021968923002200808,0.002196957280115304,0.002196892913614623,0.0021973778645318666,0.002196965723854024,0.002197098951082289,0.0021988895051583404,0.002196904401647384,0.0021968885192036017,0.002196993141855869,0.2447876860302897,1
24,0.00321164740943731,0.003211647284719665,0.0032116472769927384,0.003211647648837169,0.00321164727623912,0.0032116473109309713,0.003211647300364807,0.0032116472803164803,0.0032116475595434274,0.0032116475146825867,0.003211647845744659,0.0032116472760832506,0.003211647276311452,0.0032116473154910835,0.9550369364243052,14
25,0.7064632998052314,0.0035292002942511006,0.0035291861615792067,0.003529765679137077,0.003529963490015033,0.0035294706113671685,0.24765269047366326,0.003529654873847022,0.0035314256212075025,0.0035291863426839994,0.003529222053319417,0.0035291876767170145,0.00352918701160043,0.003529295853752955,0.00352926405162735,0
26,0.0035200933325529697,0.0035200682851529476,0.0035200512085576795,0.003520056510067311,0.0035200508401570644,0.0035200474649412982,0.0035200474751346136,0.0035202176813860257,0.5126811313497218,0.07209636495612119,0.031245172419660273,0.0035200547141807912,0.3452560010418229,0.0035202577549757917,0.003520384965567183,8
27,0.002286262296067282,0.002286262714407543,0.002286262298684712,0.0022862631698047395,0.0022862622957217395,0.2535847708945098,0.0022862622993409755,0.002286262300850372,0.0022862627333978436,0.0022862623238890972,0.0022862632136219636,0.0022862623436220282,0.7166938146555336,0.0022862640719892788,0.0022862623885590125,12
28,0.023319417800469523,0.00287838152521893,0.8774389897095711,0.0028785370374957856,0.0028784092515347984,0.002878395750921205,0.0028783653253374687,0.0028784558648318227,0.0028790286973830862,0.017010960124041605,0.050567506682731966,0.00287836384511942,0.002878362686177065,0.0028784110520225746,0.002878414647143519,2
