bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,search_interest,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
abanca,2023-07-01,77975.9973211147,5946,72148000000,690,13,1,0,0.0710227265954017,17.652685664464137,8.0,0,1,300.0,2.0,1.0
abanca,2023-08-01,90688.23604806988,5946,72148000000,690,13,1,0,0.0683760717511177,17.652685664464137,4.0,0,0,300.0,2.0,1.0
abanca,2023-08-01,90688.23604806988,5946,72148000000,690,13,1,0,0.0683760717511177,17.652685664464137,7.0,1,0,300.0,2.0,1.0
abanca,2023-08-01,90688.23604806988,5946,72148000000,690,13,1,0,0.0683760717511177,17.652685664464137,7.0,0,1,300.0,2.0,1.0
abanca,2023-09-01,69082.3884196847,5946,72148000000,690,13,1,0,0.0637393742799758,17.661376146727168,7.0,0,0,300.0,2.0,0.0
abanca,2023-09-01,69082.3884196847,5946,72148000000,690,13,1,0,0.0637393742799758,17.661376146727168,7.0,1,0,300.0,2.0,0.0
abanca,2023-09-01,69082.3884196847,5946,72148000000,690,13,1,0,0.0637393742799758,17.661376146727168,7.0,0,1,300.0,2.0,0.0
abanca,2023-10-01,75669.22931640742,5946,72148000000,690,13,1,0,0.072727270424366,8.0,7.0,0,0,300.0,2.0,1.0
abanca,2023-10-01,75669.22931640742,5946,72148000000,690,13,1,0,0.072727270424366,8.0,7.0,1,0,300.0,2.0,1.0
abanca,2023-10-01,75669.22931640742,5946,72148000000,690,13,1,0,0.072727270424366,8.0,7.0,0,1,300.0,2.0,1.0
abanca,2023-11-01,60025.43195222091,5946,72148000000,690,13,1,0,0.0672268941998481,17.652685664464137,5.470588235294118,0,0,300.0,2.0,1.0
abanca,2023-11-01,60025.43195222091,5946,72148000000,690,13,1,0,0.0672268941998481,17.652685664464137,3.0,1,0,300.0,2.0,1.0
abanca,2023-11-01,60025.43195222091,5946,72148000000,690,13,1,0,0.0672268941998481,17.652685664464137,3.0,0,1,300.0,2.0,1.0
abanca,2023-12-01,57677.13303408881,5946,72148000000,690,13,1,0,0.0894039720296859,17.661376146727168,5.354838709677419,0,0,300.0,2.0,0.0
abanca,2023-12-01,57677.13303408881,5946,72148000000,690,13,1,0,0.0894039720296859,17.661376146727168,3.0,1,0,300.0,2.0,0.0
abanca,2023-12-01,57677.13303408881,5946,72148000000,690,13,1,0,0.0894039720296859,17.661376146727168,3.0,0,1,300.0,2.0,0.0
n26,2021-12-01,6664.368910778517,1500,8000000000,0,11,0,0,0.0672043040394783,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2021-12-01,6664.368910778517,1500,8000000000,0,11,0,0,0.0672043040394783,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2021-12-01,6664.368910778517,1500,8000000000,0,11,0,0,0.0672043040394783,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2021-12-01,15239.190071293438,1500,8000000000,0,11,0,0,0.0672043040394783,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2021-12-01,15239.190071293438,1500,8000000000,0,11,0,0,0.0672043040394783,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2021-12-01,15239.190071293438,1500,8000000000,0,11,0,0,0.0672043040394783,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2022-01-01,5310.17735954677,1500,8000000000,0,11,0,0,0.0787234008312225,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2022-01-01,5310.17735954677,1500,8000000000,0,11,0,0,0.0787234008312225,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2022-01-01,5310.17735954677,1500,8000000000,0,11,0,0,0.0787234008312225,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2022-01-01,11468.598705576667,1500,8000000000,0,11,0,0,0.0787234008312225,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2022-01-01,11468.598705576667,1500,8000000000,0,11,0,0,0.0787234008312225,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2022-01-01,11468.598705576667,1500,8000000000,0,11,0,0,0.0787234008312225,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2022-02-01,5547.5889705106265,1500,8000000000,0,11,0,0,0.0554765276610851,17.64399518220111,7.0,0,0,300.0,2.0,2.0
