bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
n26,2022-01-01,5310.17735954677,1500,8000000000,0,11,0,0,0.07872340083122253,7.0,0,1,300€,2%,2
n26,2022-01-01,11468.598705576667,1500,8000000000,0,11,0,0,0.07872340083122253,7.0,0,0,300€,2%,2
n26,2022-01-01,11468.598705576667,1500,8000000000,0,11,0,0,0.07872340083122253,7.0,1,0,300€,2%,2
n26,2022-01-01,11468.598705576667,1500,8000000000,0,11,0,0,0.07872340083122253,7.0,0,1,300€,2%,2
n26,2022-02-01,5547.5889705106265,1500,8000000000,0,11,0,0,0.05547652766108513,7.0,0,0,300€,2%,2
n26,2022-02-01,5547.5889705106265,1500,8000000000,0,11,0,0,0.05547652766108513,7.0,1,0,300€,2%,2
n26,2022-02-01,5547.5889705106265,1500,8000000000,0,11,0,0,0.05547652766108513,7.0,0,1,300€,2%,2
n26,2022-02-01,12928.637518661106,1500,8000000000,0,11,0,0,0.05547652766108513,7.0,0,0,300€,2%,2
n26,2022-02-01,12928.637518661106,1500,8000000000,0,11,0,0,0.05547652766108513,7.0,1,0,300€,2%,2
n26,2022-02-01,12928.637518661106,1500,8000000000,0,11,0,0,0.05547652766108513,7.0,0,1,300€,2%,2
n26,2022-03-01,4900.271300032084,1500,8000000000,0,11,0,0,0.0565476194024086,7.0,0,0,300€,2%,1
n26,2022-03-01,4900.271300032084,1500,8000000000,0,11,0,0,0.0565476194024086,7.0,1,0,300€,2%,1
n26,2022-03-01,4900.271300032084,1500,8000000000,0,11,0,0,0.0565476194024086,7.0,0,1,300€,2%,1
n26,2022-03-01,12554.646465097732,1500,8000000000,0,11,0,0,0.0565476194024086,7.0,0,0,300€,2%,1
n26,2022-03-01,12554.646465097732,1500,8000000000,0,11,0,0,0.0565476194024086,7.0,1,0,300€,2%,1
n26,2022-03-01,12554.646465097732,1500,8000000000,0,11,0,0,0.0565476194024086,7.0,0,1,300€,2%,1
n26,2022-04-01,4909.581023140519,1500,8000000000,0,11,0,0,0.052254099398851395,7.0,0,0,300€,2%,1
n26,2022-04-01,4909.581023140519,1500,8000000000,0,11,0,0,0.052254099398851395,7.0,1,0,300€,2%,1
n26,2022-04-01,4909.581023140519,1500,8000000000,0,11,0,0,0.052254099398851395,7.0,0,1,300€,2%,1
n26,2022-04-01,11887.397875042518,1500,8000000000,0,11,0,0,0.052254099398851395,7.0,0,0,300€,2%,1
n26,2022-04-01,11887.397875042518,1500,8000000000,0,11,0,0,0.052254099398851395,7.0,1,0,300€,2%,1
n26,2022-04-01,11887.397875042518,1500,8000000000,0,11,0,0,0.052254099398851395,7.0,0,1,300€,2%,1
n26,2022-05-01,6639.387528361599,1500,8000000000,0,11,0,0,0.054621849209070206,9.0,0,0,300€,2%,2
n26,2022-05-01,6639.387528361599,1500,8000000000,0,11,0,0,0.054621849209070206,5.0,1,0,300€,2%,2
n26,2022-05-01,6639.387528361599,1500,8000000000,0,11,0,0,0.054621849209070206,5.0,0,1,300€,2%,2
n26,2022-05-01,14913.055479318129,1500,8000000000,0,11,0,0,0.054621849209070206,9.0,0,0,300€,2%,2
n26,2022-05-01,14913.055479318129,1500,8000000000,0,11,0,0,0.054621849209070206,5.0,1,0,300€,2%,2
n26,2022-05-01,14913.055479318129,1500,8000000000,0,11,0,0,0.054621849209070206,5.0,0,1,300€,2%,2
n26,2022-06-01,7382.78333666578,1500,8000000000,0,11,0,0,0.05034324899315834,4.0,0,0,300€,2%,1
n26,2022-06-01,7382.78333666578,1500,8000000000,0,11,0,0,0.05034324899315834,7.0,1,0,300€,2%,1
n26,2022-06-01,7382.78333666578,1500,8000000000,0,11,0,0,0.05034324899315834,7.0,0,1,300€,2%,1
