bank,date,web_traffic,cross_visitation,search_interest,rank,incentive,apr,mentions,app_installs,ppc_spend
ing,2023-05-01,19644.87222672516,0.1874629408121109,56.75,6.5,200.0,2.5,11.0,45108.74222336774,48491.45762133592
ing,2023-06-01,17358.399171606405,0.10717299580574036,56.75,6.5,200.0,2.5,8.0,49395.63128380762,52978.59767933418
ing,2023-07-01,26414.425930682966,0.11843361705541611,4.375,3.5,200.0,2.5,5.0,49590.89914233689,39732.1008534858
ing,2023-08-01,18230.702829947855,0.1325678527355194,56.75,4.5,200.0,2.5,6.0,42093.97185676073,42182.22446235763
ing,2023-09-01,20531.783912986426,0.14758063852787018,56.75,4.5,200.0,2.5,8.0,43406.679473217635,58854.73823619602
ing,2023-10-01,17299.21395490016,0.126379132270813,56.75,4.5,200.0,2.5,9.0,52626.70364772167,70091.20121161774
ing,2023-11-01,21210.030797498937,0.11907810717821121,56.75,5.911764705882353,200.0,2.5,13.0,52607.27589444465,124438.98647168526
ing,2023-12-01,13970.245879340026,0.149920254945755,4.375,6.209677419354838,200.0,2.5,5.0,38508.45320111979,59050.301145296944
bbva,2021-12-01,45449.48678651925,0.19630709290504456,46.0,3.0,0.0,0.0,4.0,28521.997901497445,31578.191541546
bbva,2022-01-01,38306.46498262619,0.170376718044281,47.6,3.0,0.0,0.0,0.0,28646.565818547562,3531.887950030661
bbva,2022-02-01,40978.32582147534,0.19253604114055634,48.0,3.5,0.0,0.0,7.0,27507.516564540772,16416.680637598554
bbva,2022-03-01,43970.54562733648,0.1749291718006134,43.75,3.5,0.0,0.0,4.0,28521.997901497445,31578.191541546
bbva,2022-04-01,40782.45195649115,0.18148034811019897,43.25,3.5,0.0,0.0,1.0,50453.38741486785,46764.25391235489
bbva,2022-05-01,44439.738816212455,0.16087880730628967,45.6,2.5,0.0,0.0,4.0,114379.34350927157,73615.50969822594
bbva,2022-06-01,29359.709637423897,0.16944243013858795,49.0,7.0,0.0,0.0,1.0,116492.31994677603,66124.18301185491
bbva,2022-07-01,49115.26308520529,0.17244072258472443,48.8,3.5,0.0,0.0,2.0,112543.2906510057,67233.64973555163
bbva,2022-08-01,49005.118423851425,0.1765841543674469,40.25,5.0,0.0,0.0,2.0,109432.55332809513,51499.5007630335
bbva,2022-09-01,36922.65566335172,0.17516979575157166,44.75,5.0,0.0,0.0,2.0,131837.2340353519,61934.40250383974
bbva,2022-10-01,44828.37266305573,0.16692215204238892,46.0,5.0,0.0,0.0,1.0,120100.2381829012,43969.1073678219
bbva,2022-11-01,36501.59166682821,0.17815004289150238,44.5,3.0,0.0,0.0,0.0,114909.45614487975,50406.84943436867
bbva,2022-12-01,41612.02886947374,0.19705095887184143,42.0,3.0,0.0,0.0,0.0,113160.74275413217,56983.912331433006
bbva,2023-01-01,35220.99341526684,0.19027328491210938,46.4,4.5,0.0,0.0,0.0,153770.40444439204,58820.80282787407
bbva,2023-02-01,27661.986096174864,0.19265924394130707,46.25,3.5,0.0,0.0,0.0,105310.20084516218,51613.237900882064
bbva,2023-03-01,29553.218455358994,0.17390233278274536,47.0,5.5,0.0,0.0,0.0,112516.09431740663,59924.15282326566
bbva,2023-04-01,26776.530440562343,0.15409022569656372,52.2,5.5,0.0,0.0,3.0,105263.85436647857,41600.73224193592
